,mesh_cd,geometry,idxmax
82,53393265,"POLYGON ((139.3125 35.6333333333333, 139.325 35.6333333333333, 139.325 35.6416666666667, 139.3125 35.6416666666667, 139.3125 35.6333333333333))",サンクス
83,53393267,"POLYGON ((139.3375 35.6333333333333, 139.35 35.6333333333333, 139.35 35.6416666666667, 139.3375 35.6416666666667, 139.3375 35.6333333333333))",セブンイ
84,53393268,"POLYGON ((139.35 35.6333333333333, 139.3625 35.6333333333333, 139.3625 35.6416666666667, 139.35 35.6416666666667, 139.35 35.6333333333333))",サークル
85,53393272,"POLYGON ((139.275 35.6416666666667, 139.2875 35.6416666666667, 139.2875 35.65, 139.275 35.65, 139.275 35.6416666666667))",セブンイ
86,53393273,"POLYGON ((139.2875 35.6416666666667, 139.3 35.6416666666667, 139.3 35.65, 139.2875 35.65, 139.2875 35.6416666666667))",スリーエ
87,53393274,"POLYGON ((139.3 35.6416666666667, 139.3125 35.6416666666667, 139.3125 35.65, 139.3 35.65, 139.3 35.6416666666667))",セブンイ
88,53393275,"POLYGON ((139.3125 35.6416666666667, 139.325 35.6416666666667, 139.325 35.65, 139.3125 35.65, 139.3125 35.6416666666667))",セブンイ
89,53393278,"POLYGON ((139.35 35.6416666666667, 139.3625 35.6416666666667, 139.3625 35.65, 139.35 35.65, 139.35 35.6416666666667))",サンクス
90,53393279,"POLYGON ((139.3625 35.6416666666667, 139.375 35.6416666666667, 139.375 35.65, 139.3625 35.65, 139.3625 35.6416666666667))",ローソン
91,53393283,"POLYGON ((139.2875 35.65, 139.3 35.65, 139.3 35.6583333333333, 139.2875 35.6583333333333, 139.2875 35.65))",ファミリ
92,53393284,"POLYGON ((139.3 35.65, 139.3125 35.65, 139.3125 35.6583333333333, 139.3 35.6583333333333, 139.3 35.65))",セブンイ
93,53393285,"POLYGON ((139.3125 35.65, 139.325 35.65, 139.325 35.6583333333333, 139.3125 35.6583333333333, 139.3125 35.65))",ローソン
94,53393286,"POLYGON ((139.325 35.65, 139.3375 35.65, 139.3375 35.6583333333333, 139.325 35.6583333333333, 139.325 35.65))",セブンイ
95,53393287,"POLYGON ((139.3375 35.65, 139.35 35.65, 139.35 35.6583333333333, 139.3375 35.6583333333333, 139.3375 35.65))",ファミリ
96,53393289,"POLYGON ((139.3625 35.65, 139.375 35.65, 139.375 35.6583333333333, 139.3625 35.6583333333333, 139.3625 35.65))",セブンイ
97,53393292,"POLYGON ((139.275 35.6583333333333, 139.2875 35.6583333333333, 139.2875 35.6666666666667, 139.275 35.6666666666667, 139.275 35.6583333333333))",ミニスト
98,53393293,"POLYGON ((139.2875 35.6583333333333, 139.3 35.6583333333333, 139.3 35.6666666666667, 139.2875 35.6666666666667, 139.2875 35.6583333333333))",セブンイ
99,53393294,"POLYGON ((139.3 35.6583333333333, 139.3125 35.6583333333333, 139.3125 35.6666666666667, 139.3 35.6666666666667, 139.3 35.6583333333333))",スリーエ
100,53393295,"POLYGON ((139.3125 35.6583333333333, 139.325 35.6583333333333, 139.325 35.6666666666667, 139.3125 35.6666666666667, 139.3125 35.6583333333333))",セブンイ
101,53393296,"POLYGON ((139.325 35.6583333333333, 139.3375 35.6583333333333, 139.3375 35.6666666666667, 139.325 35.6666666666667, 139.325 35.6583333333333))",セブンイ
102,53393297,"POLYGON ((139.3375 35.6583333333333, 139.35 35.6583333333333, 139.35 35.6666666666667, 139.3375 35.6666666666667, 139.3375 35.6583333333333))",サンクス
103,53393298,"POLYGON ((139.35 35.6583333333333, 139.3625 35.6583333333333, 139.3625 35.6666666666667, 139.35 35.6666666666667, 139.35 35.6583333333333))",スリーエ
104,53393299,"POLYGON ((139.3625 35.6583333333333, 139.375 35.6583333333333, 139.375 35.6666666666667, 139.3625 35.6666666666667, 139.3625 35.6583333333333))",セブンイ
105,53393300,"POLYGON ((139.375 35.5833333333333, 139.3875 35.5833333333333, 139.3875 35.5916666666667, 139.375 35.5916666666667, 139.375 35.5833333333333))",サンクス
106,53393301,"POLYGON ((139.3875 35.5833333333333, 139.4 35.5833333333333, 139.4 35.5916666666667, 139.3875 35.5916666666667, 139.3875 35.5833333333333))",セブンイ
107,53393302,"POLYGON ((139.4 35.5833333333333, 139.4125 35.5833333333333, 139.4125 35.5916666666667, 139.4 35.5916666666667, 139.4 35.5833333333333))",ローソン
108,53393303,"POLYGON ((139.4125 35.5833333333333, 139.425 35.5833333333333, 139.425 35.5916666666667, 139.4125 35.5916666666667, 139.4125 35.5833333333333))",他
109,53393304,"POLYGON ((139.425 35.5833333333333, 139.4375 35.5833333333333, 139.4375 35.5916666666667, 139.425 35.5916666666667, 139.425 35.5833333333333))",セブンイ
110,53393305,"POLYGON ((139.4375 35.5833333333333, 139.45 35.5833333333333, 139.45 35.5916666666667, 139.4375 35.5916666666667, 139.4375 35.5833333333333))",サンクス
111,53393306,"POLYGON ((139.45 35.5833333333333, 139.4625 35.5833333333333, 139.4625 35.5916666666667, 139.45 35.5916666666667, 139.45 35.5833333333333))",ファミリ
112,53393307,"POLYGON ((139.4625 35.5833333333333, 139.475 35.5833333333333, 139.475 35.5916666666667, 139.4625 35.5916666666667, 139.4625 35.5833333333333))",セブンイ
113,53393308,"POLYGON ((139.475 35.5833333333333, 139.4875 35.5833333333333, 139.4875 35.5916666666667, 139.475 35.5916666666667, 139.475 35.5833333333333))",スリーエ
114,53393310,"POLYGON ((139.375 35.5916666666667, 139.3875 35.5916666666667, 139.3875 35.6, 139.375 35.6, 139.375 35.5916666666667))",セブンイ
115,53393315,"POLYGON ((139.4375 35.5916666666667, 139.45 35.5916666666667, 139.45 35.6, 139.4375 35.6, 139.4375 35.5916666666667))",サンクス
116,53393316,"POLYGON ((139.45 35.5916666666667, 139.4625 35.5916666666667, 139.4625 35.6, 139.45 35.6, 139.45 35.5916666666667))",ミニスト
